date,social_financing,sf_12m_sum,credit_impulse,ma6,signal
2020-02-29,7202.0,167651.904759,2.8718077467862813,6.804224546409592,信贷扩张
2020-02-29,7202.0,167651.904759,2.8718077467862813,6.804224546409592,信贷扩张
2020-03-31,30390.0,178457.509229,4.280924570496403,5.775872696353482,信贷扩张
2020-03-31,30390.0,178457.509229,4.280924570496403,5.775872696353482,信贷扩张
2020-04-30,16239.0,185963.681725,10.117842193670468,5.964395376838302,信贷扩张
2020-04-30,16239.0,185963.681725,10.117842193670468,5.964395376838302,信贷扩张
2020-05-31,15502.0,189610.222965,11.972611797033505,6.420875340459034,信贷扩张
2020-05-31,15502.0,189610.222965,11.972611797033505,6.420875340459034,信贷扩张
2020-06-30,19029.0,191902.32313499998,13.359958713696042,7.358284395137345,信贷扩张
2020-06-30,19029.0,191902.323135,13.359958713696042,7.358284395137345,信贷扩张
2020-07-31,10221.0,194037.250234,17.948081847024323,10.091871144784504,信贷扩张
2020-07-31,10221.0,194037.25023399998,17.948081847024323,10.091871144784504,信贷扩张
2020-08-31,14201.0,195193.068244,18.719085388438252,12.733084085059831,信贷扩张
2020-08-31,14201.0,195193.068244,18.71908538843825,12.733084085059833,信贷扩张
2020-09-30,19171.0,196751.627544,17.332417868587903,14.908332968075081,信贷扩张
2020-09-30,19171.0,196751.627544,17.332417868587903,14.90833296807508,信贷扩张
2020-10-31,6663.0,197944.98901,19.23268494021921,16.427473425833206,信贷扩张
2020-10-31,6663.0,197944.98901,19.232684940219215,16.427473425833206,信贷扩张
2020-11-30,15309.0,199620.81577,19.285883148488956,17.646351984409115,信贷扩张
2020-11-30,15309.0,199620.81577,19.28588314848896,17.646351984409115,信贷扩张
2020-12-31,11458.0,200309.0,18.64193522922959,18.526681403664707,信贷扩张
2020-12-31,11458.0,200309.0,18.64193522922959,18.526681403664707,信贷扩张
2021-01-31,38182.0,203567.0,21.10556131332601,19.052927981381654,信贷扩张
2021-01-31,38182.0,203567.0,21.105561313326014,19.052927981381654,信贷扩张
2021-02-28,13413.0,209778.0,25.1271199701288,20.120933744996744,信贷扩张
2021-02-28,13413.0,209778.0,25.127119970128796,20.120933744996744,信贷扩张
2021-03-31,27511.0,206899.0,15.937402070597862,19.888431111998404,信贷扩张
2021-03-31,27511.0,206899.0,15.937402070597862,19.888431111998404,信贷扩张
2021-04-30,12840.0,203500.0,9.429969396353655,18.254645188020813,信贷扩张
2021-04-30,12840.0,203500.0,9.429969396353655,18.254645188020813,信贷扩张
2021-05-31,14294.0,202292.0,6.6883403419344845,16.155054720261735,信贷扩张
2021-05-31,14294.0,202292.0,6.6883403419344845,16.155054720261735,信贷扩张
2021-06-30,23182.0,206445.0,7.578166135471687,14.311093204635418,信贷扩张
2021-06-30,23182.0,206445.0,7.578166135471687,14.311093204635418,信贷扩张
2021-07-31,8391.0,204615.0,5.451401601106864,11.702066585932224,信贷扩张
2021-07-31,8391.0,204615.0,5.4514016011068644,11.702066585932224,信贷扩张
2021-08-31,12713.0,203127.0,4.064658559535639,8.191656350833366,信贷扩张
2021-08-31,12713.0,203127.0,4.064658559535639,8.191656350833366,信贷扩张
2021-09-30,17755.0,201711.0,2.5206258865080766,5.955526986818402,信贷扩张
2021-09-30,17755.0,201711.0,2.5206258865080766,5.955526986818402,信贷扩张
2021-10-31,7752.0,202800.0,2.4527071962173963,4.792649953462358,信贷扩张
2021-10-31,7752.0,202800.0,2.4527071962173963,4.792649953462358,信贷扩张
2021-11-30,13021.0,200512.0,0.44643852724599586,3.75233298434761,信贷扩张
2021-11-30,13021.0,200512.0,0.4464385272459958,3.75233298434761,信贷扩张
2021-12-31,10350.0,199404.0,-0.4518019659625838,2.414004967441898,信贷收缩
2021-12-31,10350.0,199404.0,-0.4518019659625838,2.414004967441898,信贷收缩
2022-01-31,41988.0,203210.0,-0.1753722361679477,1.476209327896096,信贷收缩
2022-01-31,41988.0,203210.0,-0.17537223616794773,1.476209327896096,信贷收缩
2022-02-28,9084.0,198881.0,-5.194538988835817,-0.0669902634991466,信贷收缩
2022-02-28,9084.0,198881.0,-5.194538988835817,-0.06699026349914661,信贷收缩
2022-03-31,32291.0,203661.0,-1.5650148139913722,-0.7479303802490547,信贷收缩
2022-03-31,32291.0,203661.0,-1.5650148139913722,-0.7479303802490547,信贷收缩
2022-04-30,3616.0,194437.0,-4.453562653562648,-1.8989753552123956,信贷收缩
2022-04-30,3616.0,194437.0,-4.453562653562648,-1.898975355212396,信贷收缩
2022-05-31,18230.0,198373.0,-1.9372985585193625,-2.296264869506622,信贷收缩
2022-05-31,18230.0,198373.0,-1.9372985585193625,-2.296264869506622,信贷收缩
