date,index_close,pe_ttm_index,pe_ttm_median,pb_index,pb_median
2011-07-22,,14.84,14.84,2.37,3.6
2011-07-25,,14.42,14.42,2.31,3.49
2011-07-26,,14.49,14.49,2.32,3.49
2011-07-27,,14.59,14.59,2.33,3.55
2011-07-28,,14.51,14.51,2.32,3.54
2011-07-29,,14.47,14.47,2.31,3.49
2011-08-01,,14.47,14.47,2.31,3.5
2011-08-02,,14.34,14.34,2.29,3.47
2011-08-03,,14.34,14.34,2.29,3.46
2011-08-04,,14.37,14.37,2.29,3.48
2011-08-05,,14.09,14.09,2.24,3.41
2011-08-08,,13.57,13.57,2.16,3.2
2011-08-09,,13.55,13.55,2.16,3.19
2011-08-10,,13.66,13.66,2.18,3.2
2011-08-11,,13.83,13.83,2.2,3.25
2011-08-12,,13.88,13.88,2.21,3.27
2011-08-15,,14.05,14.05,2.24,3.31
2011-08-16,,13.89,13.89,2.22,3.29
2011-08-17,,13.82,13.82,2.21,3.27
2011-08-18,,13.57,13.57,2.18,3.22
2011-08-19,,13.4,13.4,2.15,3.19
2011-08-22,,13.18,13.18,2.12,3.17
2011-08-23,,13.35,13.35,2.16,3.24
2011-08-24,,13.28,13.28,2.15,3.23
2011-08-25,,13.61,13.61,2.21,3.32
2011-08-26,,13.44,13.44,2.18,3.32
2011-08-29,,13.22,13.22,2.14,3.27
2011-08-30,,13.15,13.15,2.13,3.25
2011-08-31,,13.15,13.15,2.13,3.21
2011-09-01,,13.1,13.1,2.12,3.2
2011-09-02,,12.96,12.96,2.1,3.17
2011-09-05,,12.71,12.71,2.06,3.1
2011-09-06,,12.65,12.65,2.05,3.08
2011-09-07,,12.88,12.88,2.09,3.15
2011-09-08,,12.8,12.8,2.08,3.12
2011-09-09,,12.79,12.79,2.07,3.08
2011-09-13,,12.66,12.66,2.05,3.05
2011-09-14,,12.71,12.71,2.06,3.08
2011-09-15,,12.68,12.68,2.06,3.07
2011-09-16,,12.71,12.71,2.06,3.06
2011-09-19,,12.48,12.48,2.03,2.98
2011-09-20,,12.52,12.52,2.04,2.99
2011-09-21,,12.85,12.85,2.09,3.11
2011-09-22,,12.49,12.49,2.03,3.02
2011-09-23,,12.43,12.43,2.02,3.0
2011-09-26,,12.22,12.22,1.99,2.96
2011-09-27,,12.33,12.33,2.01,2.99
2011-09-28,,12.22,12.22,1.99,2.93
2011-09-29,,12.11,12.11,1.97,2.84
2011-09-30,,12.09,12.09,1.97,2.82
2011-10-10,,12.03,12.03,1.96,2.8
2011-10-11,,12.05,12.05,1.96,2.79
2011-10-12,,12.4,12.4,2.01,2.91
2011-10-13,,12.49,12.49,2.03,2.95
2011-10-14,,12.46,12.46,2.02,2.95
2011-10-17,,12.52,12.52,2.03,2.94
2011-10-18,,12.25,12.25,1.99,2.84
2011-10-19,,12.21,12.21,1.98,2.85
2011-10-20,,11.96,11.96,1.94,2.77
2011-10-21,,11.89,11.89,1.93,2.72
2011-10-24,,12.15,12.15,1.97,2.76
2011-10-25,,12.34,12.34,2.0,2.83
2011-10-26,,12.4,12.4,2.02,2.86
2011-10-27,,12.33,12.33,2.01,2.84
2011-10-28,,12.35,12.35,2.02,2.9
2011-10-31,,12.19,12.19,1.99,2.89
2011-11-01,,12.2,12.2,1.99,2.88
2011-11-02,,12.37,12.37,2.02,2.92
2011-11-03,,12.39,12.39,2.03,2.95
2011-11-04,,12.49,12.49,2.04,2.98
2011-11-07,,12.39,12.39,2.02,2.96
2011-11-08,,12.37,12.37,2.02,2.93
2011-11-09,,12.47,12.47,2.04,2.97
2011-11-10,,12.25,12.25,2.0,2.91
2011-11-11,,12.25,12.25,2.0,2.93
2011-11-14,,12.49,12.49,2.04,2.99
2011-11-15,,12.48,12.48,2.04,3.0
2011-11-16,,12.17,12.17,1.99,2.92
2011-11-17,,12.15,12.15,1.99,2.92
2011-11-18,,11.93,11.93,1.95,2.83
2011-11-21,,11.92,11.92,1.95,2.84
2011-11-22,,11.9,11.9,1.94,2.83
2011-11-23,,11.83,11.83,1.93,2.82
2011-11-24,,11.85,11.85,1.94,2.81
2011-11-25,,11.77,11.77,1.92,2.78
2011-11-28,,11.78,11.78,1.93,2.78
2011-11-29,,11.93,11.93,1.95,2.83
2011-11-30,,11.57,11.57,1.89,2.69
2011-12-01,,11.84,11.84,1.93,2.78
2011-12-02,,11.72,11.72,1.91,2.73
2011-12-05,,11.61,11.61,1.89,2.65
2011-12-06,,11.58,11.58,1.89,2.63
2011-12-07,,11.61,11.61,1.89,2.64
2011-12-08,,11.59,11.59,1.89,2.64
2011-12-09,,11.53,11.53,1.88,2.61
2011-12-12,,11.41,11.41,1.86,2.59
2011-12-13,,11.21,11.21,1.83,2.48
2011-12-14,,11.12,11.12,1.81,2.42
2011-12-15,,10.89,10.89,1.77,2.35
2011-12-16,,11.1,11.1,1.81,2.42
2011-12-19,,11.07,11.07,1.8,2.41
2011-12-20,,11.05,11.05,1.8,2.4
2011-12-21,,10.93,10.93,1.78,2.34
2011-12-22,,10.92,10.92,1.78,2.31
2011-12-23,,11.01,11.01,1.79,2.35
2011-12-26,,10.93,10.93,1.78,2.33
2011-12-27,,10.81,10.81,1.76,2.28
2011-12-28,,10.83,10.83,1.76,2.27
2011-12-29,,10.85,10.85,1.77,2.27
2011-12-30,,11.0,11.0,1.79,2.32
2012-01-04,,10.96,10.96,1.78,2.31
2012-01-05,,10.86,10.86,1.76,2.24
2012-01-06,,10.93,10.93,1.78,2.23
2012-01-09,,11.24,11.24,1.83,2.36
2012-01-10,,11.54,11.54,1.87,2.47
2012-01-11,,11.49,11.49,1.87,2.47
2012-01-12,,11.46,11.46,1.86,2.46
2012-01-13,,11.31,11.31,1.84,2.37
2012-01-16,,11.12,11.12,1.81,2.29
2012-01-17,,11.57,11.57,1.88,2.43
2012-01-18,,11.41,11.41,1.85,2.39
2012-01-19,,11.56,11.56,1.88,2.42
2012-01-20,,11.69,11.69,1.9,2.46
2012-01-30,,11.5,11.5,1.87,2.43
2012-01-31,,11.54,11.54,1.87,2.44
2012-02-01,,11.41,11.41,1.85,2.42
2012-02-02,,11.64,11.64,1.89,2.48
2012-02-03,,11.73,11.73,1.9,2.52
2012-02-06,,11.73,11.73,1.9,2.53
2012-02-07,,11.53,11.53,1.87,2.49
2012-02-08,,11.81,11.81,1.92,2.56
2012-02-09,,11.83,11.83,1.92,2.57
2012-02-10,,11.83,11.83,1.92,2.57
2012-02-13,,11.82,11.82,1.92,2.6
2012-02-14,,11.78,11.78,1.91,2.59
2012-02-15,,11.89,11.89,1.93,2.64
2012-02-16,,11.84,11.84,1.92,2.63
2012-02-17,,11.84,11.84,1.92,2.62
2012-02-20,,11.87,11.87,1.92,2.62
2012-02-21,,11.97,11.97,1.94,2.65
2012-02-22,,12.08,12.08,1.96,2.7
2012-02-23,,12.11,12.11,1.96,2.7
2012-02-24,,12.27,12.27,1.99,2.76
2012-02-27,,12.31,12.31,1.99,2.76
2012-02-28,,12.34,12.34,2.0,2.74
2012-02-29,,12.23,12.23,1.98,2.69
2012-03-01,,12.21,12.21,1.97,2.7
2012-03-02,,12.39,12.39,2.0,2.75
2012-03-05,,12.3,12.3,1.99,2.75
2012-03-06,,12.14,12.14,1.96,2.73
2012-03-07,,12.06,12.06,1.95,2.71
2012-03-08,,12.19,12.19,1.96,2.75
2012-03-09,,12.28,12.28,1.98,2.78
2012-03-12,,12.25,12.25,1.97,2.79
2012-03-13,,12.35,12.35,1.99,2.83
2012-03-14,,12.04,12.04,1.94,2.68
2012-03-15,,11.97,11.97,1.93,2.67
2012-03-16,,12.11,12.11,1.95,2.73
2012-03-19,,12.15,12.15,1.95,2.74
2012-03-20,,11.98,11.98,1.92,2.68
2012-03-21,,11.99,11.99,1.92,2.69
2012-03-22,,11.98,11.98,1.92,2.67
2012-03-23,,11.86,11.86,1.89,2.61
2012-03-26,,11.87,11.87,1.88,2.6
2012-03-27,,11.9,11.9,1.88,2.59
2012-03-28,,11.64,11.64,1.83,2.47
2012-03-29,,11.47,11.47,1.8,2.44
2012-03-30,,11.56,11.56,1.79,2.44
2012-04-05,,11.74,11.74,1.82,2.52
2012-04-06,,11.76,11.76,1.82,2.52
2012-04-09,,11.66,11.66,1.81,2.49
2012-04-10,,11.76,11.76,1.82,2.52
2012-04-11,,11.77,11.77,1.82,2.52
2012-04-12,,11.93,11.93,1.85,2.58
2012-04-13,,11.97,11.97,1.86,2.57
2012-04-16,,11.94,11.94,1.85,2.58
2012-04-17,,11.87,11.87,1.84,2.55
2012-04-18,,12.11,12.11,1.87,2.61
2012-04-19,,12.07,12.07,1.87,2.62
2012-04-20,,12.2,12.2,1.89,2.63
2012-04-23,,12.07,12.07,1.87,2.59
2012-04-24,,12.11,12.11,1.87,2.55
2012-04-25,,12.18,12.18,1.88,2.58
2012-04-26,,12.16,12.16,1.87,2.58
2012-04-27,,12.11,12.11,1.84,2.57
2012-05-02,,12.11,12.11,1.84,2.63
2012-05-03,,12.12,12.12,1.84,2.63
2012-05-04,,12.19,12.19,1.85,2.66
2012-05-07,,12.19,12.19,1.85,2.67
2012-05-08,,12.16,12.16,1.85,2.67
2012-05-09,,11.96,11.96,1.82,2.61
2012-05-10,,11.97,11.97,1.82,2.6
2012-05-11,,11.89,11.89,1.81,2.58
2012-05-14,,11.81,11.81,1.79,2.58
2012-05-15,,11.79,11.79,1.79,2.58
2012-05-16,,11.63,11.63,1.77,2.53
2012-05-17,,11.79,11.79,1.79,2.57
2012-05-18,,11.62,11.62,1.77,2.54
2012-05-21,,11.66,11.66,1.77,2.53
2012-05-22,,11.79,11.79,1.79,2.56
2012-05-23,,11.74,11.74,1.78,2.57
2012-05-24,,11.67,11.67,1.77,2.55
2012-05-25,,11.59,11.59,1.76,2.52
2012-05-28,,11.73,11.73,1.79,2.56
2012-05-29,,11.86,11.86,1.81,2.61
2012-05-30,,11.83,11.83,1.8,2.6
2012-05-31,,11.78,11.78,1.8,2.61
2012-06-01,,11.78,11.78,1.8,2.59
2012-06-04,,11.49,11.49,1.75,2.49
2012-06-05,,11.5,11.5,1.75,2.5
2012-06-06,,11.49,11.49,1.75,2.49
2012-06-07,,11.41,11.41,1.75,2.46
2012-06-08,,11.35,11.35,1.74,2.45
2012-06-11,,11.47,11.47,1.76,2.5
2012-06-12,,11.39,11.39,1.75,2.46
2012-06-13,,11.53,11.53,1.78,2.52
2012-06-14,,11.42,11.42,1.77,2.52
2012-06-15,,11.47,11.47,1.78,2.52
2012-06-18,,11.52,11.52,1.79,2.54
2012-06-19,,11.45,11.45,1.78,2.51
2012-06-20,,11.42,11.42,1.78,2.49
2012-06-21,,11.27,11.27,1.76,2.44
2012-06-25,,11.05,11.05,1.73,2.39
2012-06-26,,11.04,11.04,1.73,2.38
2012-06-27,,11.02,11.02,1.73,2.35
2012-06-28,,10.93,10.93,1.71,2.32
2012-06-29,,11.07,11.07,1.74,2.34
2012-07-02,,11.28,11.28,1.76,2.42
2012-07-03,,11.29,11.29,1.77,2.42
2012-07-04,,11.28,11.28,1.76,2.43
2012-07-05,,11.16,11.16,1.75,2.35
2012-07-06,,11.28,11.28,1.77,2.41
2012-07-09,,11.03,11.03,1.73,2.3
2012-07-10,,11.0,11.0,1.72,2.3
2012-07-11,,11.05,11.05,1.73,2.32
2012-07-12,,11.11,11.11,1.74,2.37
2012-07-13,,11.12,11.12,1.74,2.35
2012-07-16,,10.93,10.93,1.71,2.25
2012-07-17,,10.99,10.99,1.72,2.29
2012-07-18,,11.01,11.01,1.73,2.32
2012-07-19,,11.08,11.08,1.74,2.32
2012-07-20,,10.99,10.99,1.73,2.29
2012-07-23,,10.85,10.85,1.7,2.29
2012-07-24,,10.87,10.87,1.71,2.3
2012-07-25,,10.81,10.81,1.7,2.26
2012-07-26,,10.76,10.76,1.69,2.25
2012-07-27,,10.78,10.78,1.69,2.25
2012-07-30,,10.7,10.7,1.68,2.22
2012-07-31,,10.71,10.71,1.68,2.18
2012-08-01,,10.81,10.81,1.69,2.22
2012-08-02,,10.75,10.75,1.68,2.19
2012-08-03,,10.84,10.84,1.7,2.23
2012-08-06,,10.95,10.95,1.72,2.26
